日期,开盘,收盘
2025-11-03,3954.08,3976.52
2025-11-04,3973.46,3960.19
2025-11-05,3922.58,3969.25
2025-11-06,3973.35,4007.76
2025-11-07,3994.32,3997.56
2025-11-10,4001.79,4018.60
2025-11-11,4023.88,4002.76
2025-11-12,3996.56,4000.14
2025-11-13,3996.51,4029.50
2025-11-14,4007.13,3990.49
2025-11-17,3988.56,3972.03
2025-11-18,3962.44,3939.81
2025-11-19,3937.92,3946.74
2025-11-20,3960.70,3931.05
2025-11-21,3896.66,3834.89
2025-11-24,3848.66,3836.77
2025-11-25,3850.57,3870.02
2025-11-26,3867.43,3864.18
2025-11-27,3867.20,3875.26
2025-11-28,3870.94,3888.60
2025-12-01,3894.21,3914.01
2025-12-02,3908.46,3897.71
2025-12-03,3894.16,3878.00
2025-12-04,3879.74,3875.79
2025-12-05,3873.12,3902.81
